chestcircumference,waistcircumference,clothingsize
92.2,85.0,M
83.9,70.8,S
87.4,72.7,S
100.8,92.3,L
108.9,116.3,XL
103.1,96.8,L
98.8,96.4,L
96.8,91.4,L
83.1,75.5,S
101.0,94.4,L
106.5,93.5,XL
103.4,94.2,L
106.3,99.5,XL
93.7,84.8,M
98.9,92.9,L
94.0,83.5,M
83.5,77.2,S
89.7,80.5,M
97.9,86.8,L
85.3,79.2,S
109.0,113.7,XL
94.1,88.1,M
85.7,70.2,S
97.3,95.4,L
97.5,79.6,L
102.6,100.0,L
83.2,74.2,S
92.1,91.2,M
103.2,91.3,L
90.4,82.1,M
95.1,93.0,M
95.0,90.1,M
96.5,93.5,L
111.5,107.7,XL
117.0,111.2,XXL
89.5,81.2,M
94.4,86.9,M
83.3,71.2,S
102.5,105.7,L
98.2,96.4,L
106.0,113.4,XL
99.1,86.9,L
99.4,94.2,L
107.1,101.9,XL
94.5,86.5,M
109.4,97.5,XL
93.2,81.4,M
101.3,94.7,L
91.0,79.4,M
79.3,67.9,XS
95.4,89.0,M
116.1,133.4,XXL
113.5,107.6,XL
109.5,100.7,XL
101.4,89.7,L
94.6,83.2,M
81.4,76.6,XS
94.0,87.8,M
98.8,94.3,L
90.4,82.5,M
87.6,81.2,S
109.0,106.2,XL
94.3,91.4,M
113.2,98.7,XL
97.7,86.8,L
97.7,83.9,L
100.6,81.4,L
93.6,80.4,M
106.5,92.5,XL
89.0,80.5,M
90.0,81.1,M
86.2,75.7,S
89.6,83.9,M
94.3,82.1,M
109.2,100.1,XL
92.0,86.0,M
107.1,92.2,XL
100.1,101.2,L
112.6,98.1,XL
98.2,87.0,L
106.9,93.1,XL
106.1,89.5,XL
103.1,92.5,L
92.4,75.1,M
99.9,101.9,L
86.5,78.4,S
99.8,91.7,L
93.0,86.5,M
93.4,84.7,M
85.6,78.5,S
97.9,100.4,L
85.2,75.9,S
101.4,95.5,L
84.1,69.4,S
105.7,106.8,L
98.6,94.8,L
95.1,91.2,M
106.8,98.9,XL
94.5,88.7,M
82.6,69.8,S
