chestcircumference,waistcircumference,clothingsize
107.4,93.3,L
102.1,87.0,L
112.0,96.4,XL
111.4,85.7,L
104.8,86.8,L
106.6,95.0,L
120.8,107.3,XL
108.7,101.0,L
118.1,106.5,XL
96.4,82.4,M
111.7,99.4,L
96.1,86.6,M
115.1,98.6,XL
123.1,104.5,XXL
106.0,100.7,L
109.2,103.3,L
108.5,90.8,L
111.8,102.8,L
99.9,87.4,M
112.7,99.9,XL
100.0,83.7,M
97.7,88.0,M
107.9,97.8,L
101.1,82.7,M
109.8,103.0,L
95.7,88.5,M
115.8,113.0,XL
96.4,91.2,M
97.1,86.4,M
105.7,96.5,L
95.7,77.7,M
110.8,106.3,L
94.7,87.0,S
104.3,96.6,L
96.5,80.6,M
117.4,109.6,XL
95.1,89.5,M
118.2,121.4,XL
98.1,79.0,M
108.6,100.2,L
86.5,74.8,XS
120.5,104.3,XL
101.3,86.4,M
115.2,96.9,XL
109.6,109.5,L
95.7,77.0,M
98.5,84.0,M
106.3,102.8,L
113.7,102.1,XL
110.6,106.1,L
116.6,113.9,XL
108.1,92.2,L
100.6,99.5,M
115.3,104.7,XL
103.7,88.5,L
146.9,137.9,3XL
90.1,75.0,S
107.1,97.0,L
126.3,106.8,XXL
114.6,101.2,XL
85.8,75.4,XS
104.4,92.6,L
90.4,82.7,S
103.3,94.0,L
116.0,113.3,XL
97.1,84.3,M
105.0,102.1,L
121.3,106.1,XL
94.4,78.6,S
98.9,85.5,M
97.5,83.0,M
93.9,74.3,S
109.1,96.7,L
98.3,92.2,M
112.9,112.0,XL
120.5,106.0,XL
112.3,103.0,XL
112.9,97.4,XL
104.8,84.4,L
106.3,96.9,L
109.8,101.0,L
97.2,89.2,M
112.7,103.2,XL
96.3,85.1,M
109.8,97.9,L
95.3,85.7,M
102.4,97.9,L
104.3,98.4,L
90.2,72.1,S
100.8,88.5,M
102.7,96.1,L
104.4,99.6,L
91.7,83.8,S
91.7,75.2,S
92.4,77.5,S
99.4,80.9,M
100.1,86.2,M
106.9,102.7,L
99.5,79.7,M
110.4,108.2,L
